@RELATION crazy-eddy

@ATTRIBUTE duzina-rijeci NUMERIC
@ATTRIBUTE broj-interpunkcije NUMERIC
@ATTRIBUTE broj-funkc-rijeci NUMERIC
@ATTRIBUTE broj-zamjenica NUMERIC
@ATTRIBUTE broj-razl-rijeci NUMERIC

@DATA

4.14285714285714, 5, 0.285714285714286, 0, 0.785714285714286
3.55555555555556, 7, 0.185185185185185, 0.0740740740740741, 0.777777777777778
3.44444444444444, 7, 0.185185185185185, 0.0740740740740741, 0.777777777777778
3.59259259259259, 7, 0.185185185185185, 0.0740740740740741, 0.777777777777778
3.55172413793103, 7, 0.172413793103448, 0.0689655172413793, 0.758620689655172
3.20720720720721, 33, 0.126126126126126, 0.018018018018018, 0.504504504504504
2.97297297297297, 33, 0.126126126126126, 0.018018018018018, 0.504504504504504
4.20720720720721, 33, 0.135135135135135, 0.027027027027027, 0.621621621621622
4.4954954954955, 33, 0.135135135135135, 0.027027027027027, 0.621621621621622
